x,y,z
2.6557,-0.34511,0.060811
2.6585,-0.31924,0.06096
2.6611,-0.2933,0.061106
2.6634,-0.26727,0.061249
2.6655,-0.24117,0.061389
2.6673,-0.215,0.061526
2.6688,-0.18876,0.06166
2.6701,-0.16245,0.061791
2.6711,-0.13607,0.061919
2.6718,-0.10963,0.062044
2.6723,-0.083134,0.062165
2.6725,-0.056577,0.062283
2.6725,-0.029965,0.062397
2.6721,-0.0033002,0.062508
2.6715,0.023415,0.062615
2.6707,0.050177,0.062719
2.6696,0.076984,0.062819
2.6682,0.10383,0.062915
2.6665,0.13072,0.063008
2.6646,0.15765,0.063097
2.6623,0.18461,0.063181
2.6599,0.2116,0.063262
2.6571,0.23862,0.063339
2.6541,0.26567,0.063411
2.6508,0.29275,0.06348
2.6472,0.31984,0.063544
2.6434,0.34695,0.063605
2.6393,0.37408,0.06366
2.6349,0.40122,0.063712
2.6303,0.42837,0.063759
2.6254,0.45553,0.063802
2.6202,0.4827,0.06384
2.6147,0.50986,0.063874
2.609,0.53703,0.063903
2.603,0.56419,0.063928
2.5967,0.59135,0.063948
2.5901,0.6185,0.063964
2.5833,0.64564,0.063975
2.5762,0.67276,0.063981
2.5688,0.69987,0.063982
2.5612,0.72696,0.063979
2.5533,0.75403,0.06397
2.5451,0.78107,0.063957
2.5367,0.80808,0.06394
2.5279,0.83506,0.063917
2.5189,0.86201,0.06389
2.5097,0.88893,0.063857
2.5002,0.9158,0.06382
2.4904,0.94263,0.063778
2.4803,0.96942,0.063731
2.47,0.99616,0.063679
2.4594,1.0229,0.063622
2.4485,1.0495,0.06356
2.4374,1.0761,0.063494
2.426,1.1026,0.063422
2.4143,1.1291,0.063346
2.4024,1.1555,0.063264
2.3902,1.1818,0.063178
2.3778,1.2081,0.063087
2.365,1.2343,0.062991
2.3521,1.2604,0.06289
2.3388,1.2864,0.062785
2.3253,1.3124,0.062675
2.3116,1.3383,0.062559
2.2976,1.3641,0.06244
2.2833,1.3898,0.062315
2.2688,1.4154,0.062186
2.254,1.4409,0.062052
2.239,1.4663,0.061914
2.2237,1.4916,0.061771
2.2082,1.5169,0.061624
2.1924,1.542,0.061472
2.1764,1.567,0.061316
2.1601,1.5919,0.061155
2.1435,1.6167,0.060991
2.1268,1.6413,0.060821
2.1098,1.6659,0.060648
2.0925,1.6903,0.060471
2.075,1.7146,0.060289
2.0572,1.7388,0.060104
2.0392,1.7628,0.059914
2.021,1.7868,0.059721
2.0025,1.8105,0.059524
1.9838,1.8342,0.059323
1.9649,1.8577,0.059118
1.9457,1.8811,0.05891
1.9263,1.9043,0.058699
1.9067,1.9274,0.058484
1.8869,1.9503,0.058265
1.8668,1.973,0.058043
1.8465,1.9957,0.057818
1.8259,2.0181,0.05759
1.8052,2.0404,0.057359
1.7842,2.0625,0.057125
1.763,2.0845,0.056888
1.7416,2.1063,0.056649
1.7199,2.1279,0.056406
1.6981,2.1494,0.056161
1.676,2.1707,0.055914
1.6538,2.1918,0.055664
1.6313,2.2127,0.055412
1.6086,2.2334,0.055157
1.5857,2.254,0.0549
1.5627,2.2744,0.054642
1.5394,2.2945,0.054381
1.5159,2.3145,0.054118
1.4922,2.3343,0.053854
1.4683,2.3539,0.053588
1.4442,2.3733,0.05332
1.42,2.3925,0.053051
1.3955,2.4115,0.05278
1.3709,2.4302,0.052508
1.346,2.4488,0.052235
1.321,2.4672,0.051961
1.2958,2.4853,0.051686
1.2705,2.5032,0.051409
1.2449,2.5209,0.051132
1.2192,2.5384,0.050854
1.1933,2.5557,0.050575
1.1672,2.5728,0.050296
1.141,2.5896,0.050016
1.1146,2.6062,0.049736
1.0881,2.6225,0.049456
1.0613,2.6386,0.049175
1.0345,2.6545,0.048894
1.0074,2.6702,0.048612
0.98024,2.6856,0.048331
0.9529,2.7008,0.04805
0.92541,2.7157,0.047769
0.89778,2.7304,0.047488
0.87,2.7448,0.047208
0.84208,2.759,0.046928
0.81402,2.773,0.046648
0.78582,2.7866,0.046369
0.75749,2.8001,0.04609
0.72903,2.8133,0.045812
0.70044,2.8262,0.045535
0.67172,2.8388,0.045258
0.64288,2.8512,0.044983
0.61392,2.8634,0.044708
0.58484,2.8752,0.044434
0.55564,2.8868,0.044161
0.52633,2.8981,0.043889
0.49691,2.9092,0.043619
0.46738,2.92,0.043349
0.43775,2.9305,0.043081
0.40802,2.9407,0.042814
0.37818,2.9507,0.042548
0.34825,2.9604,0.042284
0.31822,2.9698,0.042021
0.2881,2.9789,0.041759
0.2579,2.9878,0.041499
0.2276,2.9963,0.041241
0.19723,3.0046,0.040984
0.16677,3.0126,0.040729
0.13624,3.0203,0.040475
0.10563,3.0277,0.040223
0.074953,3.0348,0.039973
0.044205,3.0416,0.039725
0.013392,3.0481,0.039478
-0.017484,3.0543,0.039233
-0.048419,3.0603,0.03899
-0.079412,3.0659,0.038748
-0.11046,3.0712,0.038509
-0.14156,3.0763,0.038271
-0.1727,3.081,0.038036
-0.20389,3.0855,0.037802
-0.23512,3.0896,0.03757
-0.2664,3.0934,0.03734
-0.2977,3.0969,0.037113
-0.32904,3.1002,0.036887
-0.36042,3.1031,0.036663
-0.39181,3.1057,0.036441
-0.42323,3.108,0.036221
-0.45468,3.1099,0.036003
-0.48613,3.1116,0.035787
-0.51761,3.113,0.035573
-0.54909,3.114,0.035361
-0.58059,3.1148,0.035152
-0.61209,3.1152,0.034944
-0.64359,3.1153,0.034738
-0.67509,3.1151,0.034535
-0.70659,3.1146,0.034333
-0.73807,3.1137,0.034133
-0.76955,3.1126,0.033936
-0.80102,3.1111,0.03374
-0.83247,3.1093,0.033547
-0.8639,3.1072,0.033355
-0.8953,3.1048,0.033166
-0.92668,3.1021,0.032979
-0.95803,3.099,0.032793
-0.98935,3.0956,0.03261
-1.0206,3.0919,0.032429
-1.0519,3.0879,0.032249
-1.0831,3.0835,0.032072
-1.1142,3.0789,0.031896
-1.1453,3.0739,0.031723
-1.1764,3.0686,0.031551
-1.2074,3.063,0.031382
-1.2383,3.057,0.031214
-1.2692,3.0507,0.031048
-1.3,3.0442,0.030884
-1.3308,3.0372,0.030723
-1.3615,3.03,0.030562
-1.3921,3.0225,0.030404
-1.4226,3.0146,0.030248
-1.4531,3.0064,0.030094
-1.4834,2.9979,0.029941
-1.5137,2.989,0.02979
-1.5439,2.9799,0.029641
-1.574,2.9704,0.029494
-1.604,2.9606,0.029349
-1.6339,2.9505,0.029205
-1.6637,2.94,0.029063
-1.6934,2.9293,0.028923
-1.7229,2.9182,0.028785
-1.7524,2.9068,0.028648
-1.7818,2.8951,0.028513
-1.811,2.8831,0.02838
-1.8401,2.8707,0.028248
-1.8691,2.8581,0.028118
-1.898,2.8451,0.02799
-1.9267,2.8318,0.027863
-1.9553,2.8182,0.027738
-1.9838,2.8043,0.027615
-2.0121,2.79,0.027493
-2.0403,2.7755,0.027373
-2.0683,2.7607,0.027254
-2.0962,2.7455,0.027137
-2.1239,2.73,0.027021
-2.1515,2.7142,0.026907
-2.1789,2.6982,0.026794
-2.2061,2.6818,0.026683
-2.2332,2.6651,0.026574
-2.2601,2.6481,0.026466
-2.2869,2.6308,0.026359
-2.3134,2.6132,0.026254
-2.3398,2.5952,0.02615
-2.366,2.577,0.026047
-2.3921,2.5585,0.025946
-2.4179,2.5397,0.025847
-2.4436,2.5206,0.025749
-2.469,2.5012,0.025652
-2.4943,2.4815,0.025556
-2.5194,2.4616,0.025462
-2.5443,2.4413,0.025369
-2.5689,2.4207,0.025278
-2.5934,2.3999,0.025188
-2.6176,2.3788,0.025099
-2.6417,2.3573,0.025011
-2.6655,2.3356,0.024925
-2.6891,2.3137,0.02484
-2.7125,2.2914,0.024756
-2.7356,2.2688,0.024673
-2.7586,2.246,0.024592
-2.7813,2.2229,0.024512
-2.8038,2.1996,0.024433
-2.826,2.1759,0.024355
-2.848,2.152,0.024279
-2.8698,2.1278,0.024203
-2.8913,2.1034,0.024129
-2.9126,2.0787,0.024056
-2.9336,2.0537,0.023984
-2.9544,2.0285,0.023914
-2.9749,2.003,0.023844
-2.9952,1.9773,0.023776
